road,total_volume,avg_congestion,avg_speed
Sony World Junction,28366028,94.13,35.98
CMH Road,28046255,88.18,38.86
100 Feet Road,27482893,87.11,38.43
Sarjapur Road,27329166,93.85,36.15
Anil Kumble Circle,26756138,90.78,37.4
Trinity Circle,26229802,90.37,37.68
South End Circle,14649543,77.28,39.44
Jayanagar 4th Block,14207817,76.71,40.15
Hebbal Flyover,12700794,80.66,40.34
Ballari Road,12505777,79.51,39.96
Marathahalli Bridge,10220293,67.18,42.3
ITPL Main Road,9839717,71.1,41.97
Yeshwanthpur Circle,7190364,63.74,42.97
Tumkur Road,6705391,60.95,43.95
Hosur Road,4586351,55.2,43.99
