Year,Month,total_volume
2022,January,8307469
2022,February,7644865
2022,March,9104378
2022,April,8006079
2022,May,8121208
2022,June,8675355
2022,July,8648684
2022,August,8773259
2022,September,8157725
2022,October,8891712
2022,November,8660716
2022,December,7865839
2023,January,8374344
2023,February,7132038
2023,March,8427104
2023,April,7821499
2023,May,8360991
2023,June,8281287
2023,July,8504770
2023,August,9017741
2023,September,8041598
2023,October,8736740
2023,November,8276276
2023,December,8057864
2024,January,8890500
2024,February,8337403
2024,March,8619658
2024,April,8156843
2024,May,8221226
2024,June,7996730
2024,July,8574581
2024,August,2566844
