Year,WeekNumber,total_volume,avg_congestion
2022,1,1928790,80.39
2022,10,2133185,84.47
2022,11,1992869,79.77
2022,12,1882039,76.69
2022,13,1789150,81.43
2022,14,2048782,81.75
2022,15,1770563,84.4
2022,16,1905511,82.54
2022,17,1946030,76.4
2022,18,1991221,80.15
2022,19,1635094,75.45
2022,2,1765236,77.11
2022,20,1667030,81.39
2022,21,1971987,84.03
2022,22,1950752,81.97
2022,23,1887904,80.84
2022,24,2053158,83.9
2022,25,2149232,82.64
2022,26,2052367,82.64
2022,27,1990122,83.94
2022,28,1908614,78.88
2022,29,1899538,78.25
2022,3,1628417,80.52
2022,30,2000317,82.79
2022,31,1853215,82.79
2022,32,2083093,82.31
2022,33,1919732,80.54
2022,34,2010781,79.87
2022,35,2091360,84.1
2022,36,1651408,78.25
2022,37,1994415,81.56
2022,38,1886237,81.94
2022,39,1962729,80.83
2022,4,1996348,77.98
2022,40,2139410,82.55
2022,41,1932673,80.88
2022,42,2087893,82.49
2022,43,1937670,83.95
2022,44,2165212,84.25
2022,45,1871572,75.47
2022,46,1816655,80.69
2022,47,2039064,81.29
2022,48,1881344,81.5
2022,49,1861722,81.71
2022,5,1871900,80.76
2022,50,1783721,81.65
2022,51,1752069,82.72
2022,52,2361325,81.86
2022,6,1891087,80.9
2022,7,2139790,81.14
2022,8,1747859,80.07
2022,9,2179097,81.93
2023,1,1933735,79.46
2023,10,1627570,80.47
2023,11,1935328,80.3
2023,12,2075673,83.37
2023,13,1957114,81.21
2023,14,1715817,80.84
2023,15,1983952,84.32
2023,16,1925180,82.99
2023,17,1707283,76.69
2023,18,1900868,81.32
2023,19,2156822,85.25
2023,2,1819196,80.89
2023,20,1797024,80.0
2023,21,1614124,76.65
2023,22,2248701,81.42
2023,23,1667377,80.36
2023,24,1874483,78.6
2023,25,2070615,83.96
2023,26,1763810,78.38
2023,27,1786200,79.37
2023,28,1850268,75.07
2023,29,2093783,83.83
2023,3,1789127,80.31
2023,30,2087540,82.45
2023,31,2295241,84.01
2023,32,1807740,79.96
2023,33,1652821,76.6
2023,34,2209989,83.27
2023,35,1863152,82.37
2023,36,1877679,80.64
2023,37,2074709,78.07
2023,38,1803753,78.2
2023,39,1988788,84.1
2023,4,2070727,75.59
2023,40,2162336,82.04
2023,41,1872913,78.69
2023,42,1886414,78.95
2023,43,2113409,82.47
2023,44,1781992,82.81
2023,45,1898073,84.59
2023,46,1666301,82.27
2023,47,2103307,80.91
2023,48,1913953,78.77
2023,49,2000967,79.9
2023,5,1657930,79.4
2023,50,1678356,77.8
2023,51,1874610,82.18
2023,52,2033264,77.52
2023,6,1820756,78.47
2023,7,1862883,76.81
2023,8,1816720,74.85
2023,9,1861879,79.26
2024,1,2049013,80.58
2024,10,1950075,81.38
2024,11,1982494,83.89
2024,12,1853194,83.55
2024,13,1778246,77.08
2024,14,1783813,80.87
2024,15,2010887,80.52
2024,16,1950055,83.16
2024,17,1742992,83.58
2024,18,2171339,81.52
2024,19,1784643,79.38
2024,2,2064152,79.76
2024,20,1757982,81.6
2024,21,1732431,77.26
2024,22,2024352,81.65
2024,23,1650752,78.02
2024,24,2042684,78.72
2024,25,1716183,81.11
2024,26,2006686,78.71
2024,27,1815169,82.26
2024,28,2155805,82.24
2024,29,1913280,81.2
2024,3,2017109,78.3
2024,30,1844952,78.72
2024,31,2043173,80.57
2024,32,1369046,77.05
2024,4,1895360,82.25
2024,5,1973755,82.17
2024,6,2069887,86.95
2024,7,1964537,82.91
2024,8,2215228,84.43
2024,9,2034511,81.66
