Year,WeekNumber,total_volume,ma4_weeks
2022,1,1928790,1928790.0
2022,10,2133185,2030988.0
2022,11,1992869,2018281.0
2022,12,1882039,1984221.0
2022,13,1789150,1949311.0
2022,14,2048782,1928210.0
2022,15,1770563,1872634.0
2022,16,1905511,1878502.0
2022,17,1946030,1917722.0
2022,18,1991221,1903331.0
2022,19,1635094,1869464.0
2022,2,1765236,1834395.0
2022,20,1667030,1764645.0
2022,21,1971987,1759837.0
2022,22,1950752,1838751.0
2022,23,1887904,1869418.0
2022,24,2053158,1965950.0
2022,25,2149232,2010262.0
2022,26,2052367,2035665.0
2022,27,1990122,2061220.0
2022,28,1908614,2025084.0
2022,29,1899538,1962660.0
2022,3,1628417,1856673.0
2022,30,2000317,1859222.0
2022,31,1853215,1845372.0
2022,32,2083093,1891261.0
2022,33,1919732,1964089.0
2022,34,2010781,1966705.0
2022,35,2091360,2026242.0
2022,36,1651408,1918320.0
2022,37,1994415,1936991.0
2022,38,1886237,1905855.0
2022,39,1962729,1873697.0
2022,4,1996348,1959932.0
2022,40,2139410,1996181.0
2022,41,1932673,2007790.0
2022,42,2087893,2039081.0
2022,43,1937670,2024412.0
2022,44,2165212,2030862.0
2022,45,1871572,2015587.0
2022,46,1816655,1947777.0
2022,47,2039064,1973126.0
2022,48,1881344,1902159.0
2022,49,1861722,1899696.0
2022,5,1871900,1913508.0
2022,50,1783721,1849672.0
2022,51,1752069,1817353.0
2022,52,2361325,1942254.0
2022,6,1891087,1947051.0
2022,7,2139790,2036068.0
2022,8,1747859,2035015.0
2022,9,2179097,1989458.0
2023,1,1933735,2000120.0
2023,10,1627570,1872065.0
2023,11,1935328,1918933.0
2023,12,2075673,1893077.0
2023,13,1957114,1898921.0
2023,14,1715817,1920983.0
2023,15,1983952,1933139.0
2023,16,1925180,1895516.0
2023,17,1707283,1833058.0
2023,18,1900868,1879321.0
2023,19,2156822,1922538.0
2023,2,1819196,1896042.0
2023,20,1797024,1918478.0
2023,21,1614124,1846792.0
2023,22,2248701,1869761.0
2023,23,1667377,1831807.0
2023,24,1874483,1851171.0
2023,25,2070615,1965294.0
2023,26,1763810,1844071.0
2023,27,1786200,1873777.0
2023,28,1850268,1867723.0
2023,29,2093783,1873515.0
2023,3,1789127,1879845.0
2023,30,2087540,1955180.0
2023,31,2295241,2066423.0
2023,32,1807740,1994912.0
2023,33,1652821,1960836.0
2023,34,2209989,1991448.0
2023,35,1863152,1883426.0
2023,36,1877679,1900910.0
2023,37,2074709,2006382.0
2023,38,1803753,1904823.0
2023,39,1988788,1936232.0
2023,4,2070727,1984494.0
2023,40,2162336,2006401.0
2023,41,1872913,2023691.0
2023,42,1886414,1998098.0
2023,43,2113409,2008768.0
2023,44,1781992,1913682.0
2023,45,1898073,1919972.0
2023,46,1666301,1864944.0
2023,47,2103307,1862418.0
2023,48,1913953,1895409.0
2023,49,2000967,1921132.0
2023,5,1657930,1919039.0
2023,50,1678356,1812802.0
2023,51,1874610,1802966.0
2023,52,2033264,1811040.0
2023,6,1820756,1851747.0
2023,7,1862883,1897878.0
2023,8,1816720,1883406.0
2023,9,1861879,1840560.0
2024,1,2049013,1897624.0
2024,10,1950075,1919422.0
2024,11,1982494,1960865.0
2024,12,1853194,1958694.0
2024,13,1778246,1891002.0
2024,14,1783813,1849437.0
2024,15,2010887,1856535.0
2024,16,1950055,1880750.0
2024,17,1742992,1871937.0
2024,18,2171339,1968818.0
2024,19,1784643,1912257.0
2024,2,2064152,1940782.0
2024,20,1757982,1944529.0
2024,21,1732431,1834802.0
2024,22,2024352,1894729.0
2024,23,1650752,1791379.0
2024,24,2042684,1862555.0
2024,25,1716183,1858493.0
2024,26,2006686,1854076.0
2024,27,1815169,1895181.0
2024,28,2155805,1923461.0
2024,29,1913280,1972735.0
2024,3,2017109,1975341.0
2024,30,1844952,1982787.0
2024,31,2043173,1954629.0
2024,32,1369046,1818570.0
2024,4,1895360,1788133.0
2024,5,1973755,1820334.0
2024,6,2069887,1827012.0
2024,7,1964537,1975885.0
2024,8,2215228,2055852.0
2024,9,2034511,2071041.0
