area,Year,Month,total_volume,avg_speed,avg_congestion,total_incidents
Electronic City,2022,January,211464,45.81,44.55,10
Electronic City,2022,February,305099,38.31,55.11,20
Electronic City,2022,March,355650,43.97,55.87,13
Electronic City,2022,April,303136,43.42,53.63,15
Electronic City,2022,May,329288,40.68,58.35,20
Electronic City,2022,June,356915,41.04,58.09,10
Electronic City,2022,July,241103,40.44,52.32,12
Electronic City,2022,August,185617,42.27,52.52,9
Electronic City,2022,September,292593,46.46,59.43,11
Electronic City,2022,October,320712,46.0,61.02,11
Electronic City,2022,November,382627,46.94,57.6,18
Electronic City,2022,December,238714,40.79,63.47,10
Electronic City,2023,January,258388,40.19,51.7,14
Electronic City,2023,February,260085,46.49,48.64,16
Electronic City,2023,March,177298,43.75,45.38,8
Electronic City,2023,April,288600,43.46,51.15,12
Electronic City,2023,May,323890,47.46,51.69,11
Electronic City,2023,June,261694,48.84,54.9,6
Electronic City,2023,July,249155,41.43,53.24,19
Electronic City,2023,August,197357,45.06,49.2,7
Electronic City,2023,September,338343,41.46,53.96,13
Electronic City,2023,October,254381,45.38,54.85,14
Electronic City,2023,November,359415,43.0,62.75,19
Electronic City,2023,December,178321,45.88,42.42,5
Electronic City,2024,January,336156,42.97,55.69,21
Electronic City,2024,February,312227,48.18,61.34,24
Electronic City,2024,March,321589,48.6,55.69,11
Electronic City,2024,April,271222,42.58,49.49,5
Electronic City,2024,May,431774,41.16,55.4,23
Electronic City,2024,June,259862,42.54,49.22,19
Electronic City,2024,July,290625,40.98,62.12,19
Electronic City,2024,August,130048,40.42,51.54,6
Hebbal,2022,January,860537,38.89,85.18,50
Hebbal,2022,February,772453,37.92,83.54,57
Hebbal,2022,March,809305,42.03,76.55,51
Hebbal,2022,April,708991,39.64,83.05,45
Hebbal,2022,May,639679,42.12,74.89,49
Hebbal,2022,June,785289,42.65,80.13,39
Hebbal,2022,July,683951,41.45,76.73,61
Hebbal,2022,August,767569,42.36,75.59,44
Hebbal,2022,September,941462,37.42,85.82,48
Hebbal,2022,October,900787,40.31,76.66,48
Hebbal,2022,November,836843,39.67,85.69,59
